domain,resolves
nbrmungojjggt.bid,False
emegbthex.bid,False
yeonenukejm.bid,False
lijopsda09.org,True
rmdzbqggjskv.com,False
qwqqliynxufj.com,False
egzlqkjhm.bid,False
dgbhmpumhxy.bid,False
rbnicxyh.bid,False
zcqaztillrmmqu.bid,False
rampackshop.com.br,False
pagecloud.com,True
randomizedsoulz.com,False
rtxunghyiwiq.com,False
rimct.com,True
rsvxipjqyvfs.com,False
gbnwjjxb.bid,False
yxghdgwi.bid,False
ruzttiecdedv.com,False
deloplen.com,True
r8nu86wg.me,False
peggziuzk.bid,False
yrvrppewe.bid,False
clomggnzxsyf.bid,False
web-prod-3fab4a-1499954829-1392918184.eu-west-1.elb.amazonaws.com,True
rigtec.biz,False
mdgupvvdjpafyl.bid,False
panelfretbbuiewnwdkhjg888333.com.tw,True
rnyuhkbucgun.com,False
sgy.ru,False
jzxlkhaugzuaqm.bid,False
sherwoodcommunityclassifieds.com,False
anasjdzutdmv.com,False
gemius.pl,True
dueybqnkkhzdh.bid,False
jqdfakgwsxvccl.bid,False
mlrocrzhrgbyi.bid,False
dodegomxh.bid,False
nvwpybcjpzohoz.bid,False
kwovwwkevyu.bid,False
uuacjdostjloa.bid,False
ronaldyeihom.net,False
reservedoffers.club,False
umjdbaog.bid,False
uaclvtrcno.bid,False
lxyjnqpbk.bid,False
eunysqxppf.bid,False
jinanlingshi.com,False
gynhbuspeiud.bid,False
sillyjayzero.crabdance.com,True
thescarts.name,True
0aqpqdju.me,False
insane.ir,False
pixietoon.com,True
tjkckpytpnje.com,True
jotformeu.com,True
jijcetagjfzo.com,False
niematego.tk,True
azqmmfhmfnpsvb.bid,False
siteverification.site,False
qzadueyzyto.bid,False
littjohnwilhap.ru,False
hnuhqaslqaqtb.bid,False
avditmiohvtq.bid,False
aubrythgmge.bid,False
chadikaysora.com,False
joqpatxugyug.com,False
polettishirts.ro,True
jmbhyqijqhxk.com,True
instantconfirm.com,True
insight.gm,True
hhdbbixxs.bid,False
sitey.me,False
tgdlekikqbdc.com,False
thanhdatconstruction.com,True
advlrtr1.com,False
eduardodev.com,True
skemvideo10.co.uk,True
webmailupgrade.pw,False
webdata.x10.mx,False
webmine.cz,True
uvffdmlqwmha.com,False
vagttuyfeuij.com,False
waterfilter.in.ua,True
web.servebeer.com,True
rioamazonas.ru,True
sailznsgbygz.com,False
secessie.nu,True
9553.com,True
fhzgapsfnlsvx.bid,False
ekdamsibldrg.bid,False
www.linaoxue.com,False
webmailboxcleanup.form2pay.com,True
avualrhg9p.bid,False
autoescuelaalba.com,True
mail2webmaster.com,True
rbuowrinsjsx.com,False
vostok-consult.ru,True
aggntknflhal.com,False
webmail-upgrade.pw,False
webmailu.pw,False
weekwkbulvsy.com,False
vl8c4g7tmo.me,False
wglbionuopeh.com,False
urpscavikbyv.com,False
us-east-1.route-1.000webhost.awex.io,True
ahwjxktemuyz.com,False
anvskelwpvvmtg.bid,False
pkucwwgcnuxzo.bid,False
www.strbrst.net,True
asvoxod.ru,False
aservices.party,False
8jd2lfsq.me,False
rpslkvzymrddjp.bid,False
qhlwqzntlwvbf.bid,False
vg02h8z1ul.me,False
savefresh.ru,True
wtxoicsjxbsj.com,False
anyfiles.ovh,False
aotrcqegtfhlaw.bid,False
qzcpotzdkfyn.com,False
ariodtalk.com,True
www.kokko-art.com.pl,False
adfpkxvaqeyj.com,False
kmveerigfvyy.com,False
hubvotrpjios.com,True
wpvvlwprfbtm.com,False
asmanijadu.com,False
raossycpodtr.bid,False
cryptown.netlify.com,True
royalsparktrading.com,False
witthethim.com,False
asiansexyshemales.com,True
ait7ee.win,False
aclsqdpgeaik.com,False
smjdypbxapigu.bid,False
qsknevegg.bid,False
architettoandreoni.it,True
lqw.me,True
sagukjshgifebs.bid,False
qqztmozc.bid,False
www.amzonmoney.com,False
synchro.ignorelist.com,True
anysnare.us,True
livelyoffers.club,False
arxerlxllv.bid,False
aqkujuggztyn.bid,False
apwtlkkd.bid,False
babybees.vn,True
avalancheclub.ro,False
barflyghlcdj.website,False
tocotlkfjo.bid,False
ammqwpksb.bid,False
tdxqgpfkiye.bid,False
tdgysmmdru.bid,False
rhhhbdhxpmrral.bid,False
nvcwvcmwdjgjyu.bid,False
mrvzisfsrvs.bid,False
94782.8b.io,True
freecontent.com,True
xicuxxferbnn.com,False
xiaoji001.com,True
amhpbhyxfgvd.com,True
bjorksta.men,False
blog.cat,True
ihriduffgkel.com,False
oickwqmwerbnq.bid,False
atvforum.ro,True
wp-monero-miner.de,True
bgpxrwjrbsjb.com,False
iisl7wpf.me,False
tnbgycckfv.bid,False
apmkcdsnv.bid,False
amjbzzicysu.bid,False
tdsnpnyg.bid,False
xcukrfpchsxn.com,False
analytics.blue,True
bajto.pl,False
www.undefined-crew.co.cc,True
www.soucker.com,True
iijmodcvlwfk.com,False
aqtnrnuhqfaf.bid,False
ampnkoudpnd.bid,False
tefwraudu.bid,False
tdrmyefiig.bid,False
tckmsixzb.bid,False
ihtatthazitg.bid,False
balkonyrai.ru,True
coinhiv.com,False
tlnrlrsquvcx.bid,False
swfqsfewk.bid,False
boardstallrack.com,False
tgrxxuwpvinoiy.bid,False
ahvnvtxbk.bid,False
agzupwcefbjol.bid,False
mdpjnppsbjv.bid,False
szrojfkigof.bid,False
swclpfypife.bid,False
coinlab.biz,False
oaogilidstvm.bid,False
pmecfluqpkwjg.bid,False
ludwmwca.bid,False
lovdkmqvoc.bid,False
servicespaypal.be,False
coinhiver.com,True
coinhive-proxy.party,False
coinhive.net,True
ihgkmgwfhjam.com,False
igg.biz,True
abuuvohpzlcrp.bid,False
abunmrqsbfn.bid,False
igawfxfnupeb.com,False
ieoexdjxrwtq.com,False
tbogddyfxl.bid,False
afpisdddjik.bid,False
nthssedj.bid,False
salam-tv.com,False
rdlynbosndvx.com,False
akovcxrklaq.bid,False
notqlzafzch.bid,False
mbflncteg.bid,False
azkvcgzjsrmk.com,False
aemhabst.bid,False
sxvqdslmbqyk.bid,False
swykcpfxkqvg.bid,False
au1-gate.net,False
5gbfree.com,True
vtijuhpxlkoq.bid,False
ioitfufxdsxtq.bid,False
adancingthiead.com,False
adofuokjj.bid,False
ihre-anwaltskanzlei.com,True
88988.com.tw,True
cstdfxkxbqbc.com,False
crystaltelecommunication.com,False
htonrwegnifw.com,False
evlvaulglzpu.com,False
hrkshoveizfo.com,False
yixi123.com,False
www.carnesviba.com,True
ezjrnbpjthir.com,False
gzqccijroe.bid,False
gkyblmfggpyq.bid,False
ichess.net,True
aba.ae,True
fge9vbrzwt.bid,False
duowork.kz,False
llil.nl,False
epernepojkle.com,False
fpslcnjecewd.com,False
openkatalog.com,True
drdae.biz,False
localh0st.info,True
ffpkqjyvvneg.com,False
ezemyudhkzvx.com,False
cryptonoter.com,True
aapxtnrhq.bid,False
fcbtexas.org,False
domainhelp-upgrade.net,False
hxkanryhktub.com,False
ssowfsbps.bid,False
d-ns.ga,False
dhomixidnkas.com,False
derekandtessa.com,False
ewgtanybkkch.com,False
ssmklfrn.bid,False
sqmeqfffehg.bid,False
sqcqnwykz.bid,False
lewd.ninja,True
gus.host,True
eccycle.com.br,False
flymeawayvacation.com,True
ajmyrtdiwvg.bid,False
lqpkjasgqjve.com,True
ofmuojegzbxo.com,False
brnsounds.cc,True
hklyzmspvqjh.com,False
hometostaypa.com,True
nxcxithvcoeh.com,True
pool.minexmr.com,True
HDRedirect-LB3-890977680.us-east-1.elb.amazonaws.com,False
fpzbox.com,True
webnode.com,True
aad1f4acb0a373420d9b0c4202d38d94fa.com,False
buceriasvacation.com,True
xuhktijdskah.com,False
firmsecurecurrent.com,False
tlijmtzosfhdsz.bid,False
bvreosoejjt.bid,False
ffhwzaenzoue.com,True
tbisruladc.bid,False
totalcaretz.com,True
cristopherboyer.com,True
bvhzswlde.bid,False
d1e1rbybdt265x.cloudfront.net,True
favoritopilodjd.com,True
3gdl.tcdn.qq.com,True
supendose.uk.com,True
csusmedu.webs.com,True
marcoviti.net,True
crypto-loot.com,True
xgmc6lu8fs.me,False
eeb2.be,True
itt-pushkino.org,False
iwmonrwpeeku.com,False
nbqbuqezie.bid,False
iweacndqhiht.com,False
hostingguru.info,True
pageindustries.net,True
personnalassistantforms.yolasite.com,True
bentom.ru,True
lcpqoewrzuxh.com,False
jatkcmpxhbba.com,False
ivkasohqerzl.com,False
iscaebizkzyd.com,False
intactoffers.club,True
mkceizyfjmmq.com,False
xjrjgfns.bid,False
itbs.com.pk,True
mmaigzevcfws.com,False
minr.pw,True
polovinkajfie.com,True
ncdxfwxijazn.com,False
krxpudrzyvko.com,False
lafuerzablanca.com,True
minerclaim.net,True
kknwvfdzyqzj.com,False
minerjet.com,True
xyvjknwxwtf.bid,False
xonrbvtejfy.bid,False
cnnzfijy.bid,False
lassoles.com,False
mariogalarza.com,True
lyonsboats.co.uk,True
pr0gramm.com,True
mkpdquuxcnhl.com,False
ynbymadjbgoo.bid,False
app.securitydns.net,True
zylokfmgrtzv.com,False
techfactory.pk,False
kissak.com,True
bwbbcdkkocx.bid,False
ledhenone.com,True
formlets.com,True
mmknsfgqxxsg.com,False
mylinegroup.com,True
cc.kandek.com,True
highendrecruiting.com,True
pascal3.science,False
ns4.thepicturehut.net,False
ncspvnslmmbv.com,False
nbmffortfyyg.com,False
navratridresses.com,True
ydujmccmydwu.bid,False
ycxpmdwail.bid,False
boncaldos.com,True
nitsche.top,False
cvhpuccaib.bid,False
clonsvyhy.bid,False
yizbtofi.bid,False
cjbaeegayainxl.bid,False
zwbyxaojzxc.bid,False
cdtojdrhoc.bid,False
ypmdszuxupnxk.bid,False
ylsbuudmpiks.bid,False
ydzbxtld.bid,False
nceuiwtnpyuqtn.bid,False
ktnhelpdesk.co.nf,True
cfcdist.gdn,False
nedmppiilnld.com,True
yqmnyyfe.bid,False
ypcuhmevrq.bid,False
zhtcuchr.bid,False
yhnwofsz.bid,False
yhcxzccnlvm.bid,False
chuvzwxbpf.bid,False
ybspoverfo.bid,False
xyiawbjnajcm.bid,False
buyakabuyaka.kiev.ua,True
mail.saglikpersoneli.net,False
playercdn.net,True
plquutxxewil.com,False
noblock.pro,True
ydqcdaqbmfedv.bid,False
befirstcdn.com,True
oyrgxjuvsedi.com,False
puc.ac.bd,True
btkaoblylg.bid,False
zeuwuxfzvaoqp.bid,False
bisericaharularadgai.ro,True
baiduccdn1.com,True
pa55word-reset.unail.biz,True
cosiloon.com,True
ogegqayudrypc.bid,False
s2gmmwq.sitelockcdn.net,True
zwcuvwssfydj.com,False
xmrm.pw,False
qqbyfhlctzty.com,False
qlugrmjsncbe.com,False
ptvjsyfayezb.com,False
wonvagfv.bid,False
btsimocheozy.bid,False
noonshdnkt.bid,False
njvpulnxjzhhf.bid,False
bslqjxmltuel.bid,False
xhmakwcpmg.bid,False
ndpxcdodtjhfv.bid,False
oubriojtpnps.com,False
nocwsbtdiiufa.bid,False
orodeglidei.it,False
zjemch.ru,False
yqutkbvrgvar.com,False
xuwxbdafults.com,False
xkwnadxakuqc.com,False
qklhtphiphni.com,False
btpgbmvlk.bid,False
xgxmhvcppp.bid,False
qhqofqeivtno.com,False
orgzjdgtjmvzi.bid,False
nbclkgok.bid,False
nut.cc,True
tihjxcxutox.bid,False
thvrvojkkjkkpe.bid,False
zhabyesrdnvn.com,True
mecounxmawn.bid,False
avt7.in.ezar.ru,True
lyeannqhhf.bid,False
ongkidcasarv.com,False
ohecnqpldvuw.com,False
peniuk.com,True
yxlibrsxbycm.com,False
yxahzybkggol.com,False
apuorlaqiscu.bid,False
adrtgbebgd.bid,False
lvpcqndtdk.bid,False
lugknllg.bid,False
ltsnideak.bid,False
lreylxggpqxz.bid,False
reflection.com.pk,True
mtyqtczr.bid,False
msvgmziu.bid,False
mqyjnccou.bid,False
mofrupteeuqnvc.bid,False
sbkuytscekitph.bid,False
swtwtbiwbjvq.com,False
rzjbuovkp.bid,False
rxjyjfkzzbl.bid,False
rwaxdqfuqih.bid,False
oonenbygymsl.com,False
lxbaocqsmg.bid,False
onaca.ro,False
olwopczjfkng.com,False
o333o.com,True
onion.top,True
nahnoji.cz,True
au1-config.com,False
sasqhtfxsnklxn.bid,False
sandzfuay.bid,False
oouggjayokzx.com,True
petsathone.com,True
mdsrggcnmybae.bid,False
lzpqpstowpvz.bid,False
lwljmcved.bid,False
phoenixrealtorsblr.com,False
tkfusktjaok.bid,False
tjyzjtkutqvb.bid,False
mnrktyxs.bid,False
vgrguzpcpc.bid,False
vfwweckjug.bid,False
viysseop.bid,False
vimlsrcfgjyr.bid,False
vigrjuksi.bid,False
veswrzdcvcdooh.bid,False
vdknliitqoe.bid,False
vcegsisugrwd.bid,False
vcavpwzzx.bid,False
vbmvbljjer.bid,False
vbjwswnic.bid,False
uzzhylmprb.bid,False
uzxbnlwauycnp.bid,False
uyeitlxsham.bid,False
uvstluoomeys.bid,False
uuwoktwdmo.bid,False
uqzhfziupi.bid,False
upcokvzuupn.bid,False
uopzeuilt.bid,False
uokehbea.bid,False
ungvncbnx.bid,False
uiydukxbls.bid,False
uhgnxrkhoi.bid,False
ueutwxdypf.bid,False
uepsvcyxxrbs.bid,False
vumzegtucxqmhl.bid,False
vtncgdjuzpe.bid,False
uebavnacbjbr.bid,False
udbmqqkl.bid,False
uclftpjqdnvvz.bid,False
tzwcaamgd.bid,False
tzgmdsdjmv.bid,False
tzexcretyodzt.bid,False
tyxnmpfi.bid,False
tyxihxxtpumgm.bid,False
txjzxbykbaflu.bid,False
twhsmftwybkfn.bid,False
tvxcesibr.bid,False
ttqdlwzgpml.bid,False
tsjnzilsuzoxm.bid,False
vjzqadxswfb.bid,False
midzwwrcrril.bid,False
mekmrcgtmuvv.bid,False
agegefpkbll.bid,False
ssobmhpxnjjp.bid,False
odtcspsrhbko.com,False
tperkulpflry.bid,False
bcnikicdi.bid,False
bbqipbsg.bid,False
bjmrnfwcoqp.bid,False
bkeueifcqeicli.bid,False
wrvbbyxmsqs.bid,False
wqndqrxoi.bid,False
wibvytsxrm.bid,False
whyawcjjcoexo.bid,False
wghscopehrcafp.bid,False
wdvmxgwwyzoq.bid,False
wbejophctdunop.bid,False
vysdpgndbzylf.bid,False
vwbvandbj.bid,False
vsgumkkc.bid,False
vrpkzrquqnhl.bid,False
vqozayvwb.bid,False
vnnqiqzcslnh.bid,False
vnekbyzxamo.bid,False
vncvownr.bid,False
vmebrrdrtmiaan.bid,False
vjwjjytlbqhvmb.bid,False
vjgfelirts.bid,False
aoqvovzrtlpn.bid,False
vfbdtfucvlxi.bid,False
wypyocogs.bid,False
wzlgmbmwq.bid,False
bgbmtqzoc.bid,False
woaoqgpq.bid,False
wimxqzilfwkn.bid,False
wtdivwvldpykn.bid,False
dblnptdnyt.bid,False
czkbmjsodcgr.bid,False
cqskvtpeqcp.bid,False
ywmbgxmtupll.bid,False
xtdkrqmcs.bid,False
xqtadzsabcjj.bid,False
wadmolldl.bid,False
vanibwlu.bid,False
plexcoin.info,False
xcmfhdbumademo.bid,False
xsydgnsbslbme.bid,False
vmbkadalzr.bid,False
xcbiscycvs.bid,False
wvmtyaqdp.bid,False
wnciofaeswfp.bid,False
wclnrjxefu.bid,False
bjfxcvebjrcuce.bid,False
dapvmnnttetuu.bid,False
cwznlbsep.bid,False
csdqikvba.bid,False
zqijyjktaxc.bid,False
yvmzmyol.bid,False
djrkauxla.bid,False
didibvyl.bid,False
wwfjhzut.bid,False
fhgstzgrdhkah.bid,False
ns1.thepicturehut.net,False
aggressivebabes.com,True
bhmenywkptbkga.bid,False
wufpseev.bid,False
wmouorhfomby.bid,False
wboewdhesyfgsk.bid,False
bjknjsfrevt.bid,False
czuyzjyxlgirh.bid,False
zymngxjmm.bid,False
zxazzpdvhf.bid,False
zngnfdmxsfnf.bid,False
ziyuakulwtwn.bid,False
zeyiihbqbswtn.bid,False
ywwefdjjc.bid,False
yvjdvcgomph.bid,False
xttcpyfgjdkl.bid,False
xrrwwxfj.bid,False
xrmtjxxeerbew.bid,False
dgnqzxsw.bid,False
wrkzbwhm.bid,False
wlcepkuuvawjdj.bid,False
vhlsrzyt.bid,False
alidnquxirv.bid,False
wxnuobpxkjgk.bid,False
wyjyuahcunm.bid,False
bhbkfoybvrl.bid,False
bgybufwnfxkcr.bid,False
wpxkzfet.bid,False
wlozflcvz.bid,False
bjswchnxfoui.bid,False
xcsgthqj.bid,False
vdvmpzqmpsswu.bid,False
barnvagnskylt.se,False
bjgaxcstxlvm.bid,False
zcuocqfstyne.bid,False
ytrojdjen.bid,False
gplqpxhsunghmx.bid,False
goowurzdotcom.bid,False
eccsyytbe.bid,False
dzwagxju.bid,False
drragqvk.bid,False
dpkdwhfdrvxzcr.bid,False
down.gsxzq.com,False
dlganxfc.bid,False
feacamnliz.bid,False
zprlpkabqlth.com,False
kadinveyasam.org,False
obito.no-ip.info,True
daohvygdwvj.bid,False
zvicyjvyox.bid,False
zhrbwgylkeqmb.bid,False
zfivwwbxblzef.bid,False
zbwzxxysgs.bid,False
yyebntqnlvqb.bid,False
yybpijyx.bid,False
yxidkikr.bid,False
ytbnswbr.bid,False
gppzxymr.bid,False
goeoxqhesrvaq.bid,False
fdnxojzwbmie.bid,False
faleaqotrgvox.bid,False
fahowtxv.bid,False
ezdariijmdlg.bid,False
exsuqfxv.bid,False
etyeltdqg.bid,False
etsqitgro.bid,False
eqqhiwfjcfx.bid,False
enheqjtrvkn.bid,False
emrcrjcxjdsccz.bid,False
elsgsgxywj.bid,False
ekdjdrmqqlc.bid,False
eivikmwwrqtb.bid,False
ehoksipmkejqt.bid,False
eedsgikkbtn.bid,False
edplsrtjpxamr.bid,False
ecflhhxp.bid,False
easygatepr.bid,False
eadtortust.bid,False
dzuklgyo.bid,False
dxokxbrfl.bid,False
frtkblgbqc.bid,False
dvlhwokr.bid,False
duumdqyt.bid,False
dqcqavgqk.bid,False
dpqytzwxohcd.bid,False
doiljgzpurycgx.bid,False
dkvblgxkihtys.bid,False
gobljmgamwfjrc.bid,False
hostoi.com,True
zijkalirgmyzj.bid,False
elxkjyvdo.bid,False
eizzndhkvl.bid,False
egzvkronnvwtra.bid,False
ewaosdzofcsy.bid,False
zymaevtin.bid,False
zbbgwhmrjx.bid,False
hyhabjqndvwf.bid,False
hxvdrelj.bid,False
hwvvhsnjj.bid,False
hwktxvrvz.bid,False
hvvxxszxslome.bid,False
huxwvqkdkc.bid,False
hsuohkuegd.bid,False
hsnuutxbmmqry.bid,False
hsivniaui.bid,False
hsdjvuayagt.bid,False
hpqxznpb.bid,False
hokehntutt.bid,False
hodhrwizh.bid,False
hnitbiubtg.bid,False
jogccrwnpsmliq.bid,False
windows70update.servepics.com,True
zeler.zapto.org,True
hewj.mooo.com,True
mtv.eradio.ee,True
msiegurhgfyl.com,False
hjnfurphlwsui.bid,False
hhnvtfiiitzf.bid,False
hfyqolbetdprw.bid,False
hirdchyngnn.bid,False
fawhiybzs.bid,False
egxkjjqke.bid,False
efsjxinbtzirs.bid,False
livxcgmpvz.bid,False
limited-martin.com,False
kyieflmhiekvrr.bid,False
kyegtutis.bid,False
kkvsvznavqkl.bid,False
kjkdagfnjm.bid,False
jpnudjqejbpx.bid,False
jllveksikabohj.bid,False
jkpdxsqpyl.bid,False
jgxlxsnqz.bid,False
jfvoyuxmp.bid,False
jffhbunkrxmyhf.bid,False
jfcofvhuqzdg.bid,False
jdiliqkjk.bid,False
jcgvmfaby.bid,False
jbarrxmpmmekwh.bid,False
jamvgopociy.bid,False
jacroxrssmme.bid,False
izgnfkvpiawwn.bid,False
iyjukpbyzsxc.bid,False
iwptktyoq.bid,False
iuewancpgd.bid,False
itdfougdewupfd.bid,False
isfouztifttwha.bid,False
iroktywi.bid,False
ipndulsempjgb.bid,False
ikuzqysewaw.bid,False
ikpzwbrzzfg.bid,False
ihmevshz.bid,False
igutgembqnw.bid,False
icyfqtjj.bid,False
icjurmxhqpdpbt.bid,False
hwtdpeihsszrl.bid,False
hwmgcurmtkxk.bid,False
hwkxtltut.bid,False
efmpejbybupe.bid,False
gxmpahyt.bid,False
hmwxaldhioby.bid,False
hkyskqpsqwjq.bid,False
ipytvgqfh.bid,False
jmqxufpbikzk.bid,False
llxyyocfgfg.bid,False
nrszmiiwfifwlq.bid,False
meuxestvodec.bid,False
lexcyehlniruu.bid,False
lcnvxuipvq.bid,False
kuqixxjguc.bid,False
ksbewtjuqitxg.bid,False
knxwoaewryxaxd.bid,False
kisvtclf.bid,False
kbxkcmpd.bid,False
jzvuglclkdnb.bid,False
jvepcgbq.bid,False
junwkfyb.bid,False
jrauyqdbit.bid,False
kbgphmpg.bid,False
juoyynafgp.bid,False
kpgcyqkktm.bid,False
lpdeuhyakoits.bid,False
okuprpjyc.bid,False
oijvjlfjjb.bid,False
oiftdobow.bid,False
nucpzlpmp.bid,False
mhhumeppcngjih.bid,False
arloxpiosxzjw.bid,False
poogatodf.com,True
minexmr.com,True
mictxtwtjigs.com,False
mhaafkoekzax.com,False
mentalhealthcheck.net,False
loakfiiggz.bid,False
liuztvaem.bid,False
klmfvshct.bid,False
kyckfuuzdzmsv.bid,False
lhapwjkoltogf.bid,False
iinkhwsh.bid,False
kuhbcpckauwt.bid,False
krzllasnlbpjk.bid,False
kmdqjdktf.bid,False
kgnxtdcf.bid,False
kbipxydhakpdwj.bid,False
jzthapvjlq.bid,False
jxxjndvcf.bid,False
lfshijqwdei.bid,False
jukdmqghgzb.bid,False
jqtftqnkhsw.bid,False
lestujzrpeom.bid,False
lplznzccvn.bid,False
ojtcgnyikbtg.bid,False
nsgwpapi.bid,False
mgjoqdmjofl.bid,False
sorgenfrei-coburg.de,True
minekitten.io,True
lgtbcaqkjo.bid,False
kkztcmjvklinxp.bid,False
kcgmgnejfp.bid,False
kxyevjvmalerq.bid,False
kujfhmyoeemqxb.bid,False
jujydhwftub.bid,False
lapbekessbozpx.bid,False
jutbdkjc.bid,False
lmbdkdxprktt.bid,False
lgbpcbddfs.bid,False
ocofiyymgfyxx.bid,False
pajmxvlsuxyks.bid,False
nrfltkshqgzowk.bid,False
sonalitas.com,True
drat.myvnc.com,True
mdrkqbsirbry.com,True
mbajaazbqdzc.com,False
phlslvetboouo.bid,False
paruvaubxwwz.bid,False
oljpsldr.bid,False
cet.no-ip.info,True
salazarparquets.com,True
happychange.net,True
gydlzimosfnz.com,False
gsiqerorqkxu.com,False
goxmrminer.com,False
mcgoth.com,True
548260.parkingcrew.net,True
olayojplg.bid,False
goweda.com,False
rrsijwsvemhzxx.bid,False
pibizrfgsrkji.bid,False
ooqgpbkpmq.bid,False
ohlpmbbiw.bid,False
akvtmvoolwlm.bid,False
owdligzikqqh.bid,False
onsujkfgc.bid,False
osfipdgo.bid,False
ofpwdoovxs.bid,False
pbcyvzvdi.bid,False
nwzawdquu.bid,False
mwgjoofxf.bid,False
nwhitgovb.bid,False
vlufledr.bid,False
tablabel.com,True
nininhashow.com.br,False
mercy.ga,False
megabanners.cf,False
pcvdrjvku.bid,False
oczqdwqnvhzz.bid,False
coinworker.com,True
hallaert.online,False
zrrgjpsb.bid,False
jcmtczpwontvppnt.org,False
c0.pl,True
marvan.biz,True
zxlake3.ru,True
qwrkigqtgygc.com,False
uqoboyvqsqpy.com,True
granpex.pl,True
inboard.ru,True
paulineantipot.fr,True
testpanel.sytes.net,True
goodolddownloads.com,True
sweb.cz,True
pdypjcgng.bid,False
dvprcchlzke.bid,False
gqnmautydwky.com,False
pdxvgkivkc.bid,False
jimwigler.com,True
eewqr12.servebeer.com,True
avangard.name,True
qrjvglpkpl.bid,False
dahakbkwgvwzb.bid,False
googledocs.docscloud.win,False
sicherheitsvorbeugung-schutz.cf,True
zs.zapto.org,True
supportxmr.com,True
swissknot.com,False
inwemo.com,False
hzsod71wov.me,True
dnsden.biz,True
serva4ok.server2.eu,True
hemnes.win,True
nethouse.me,True
sopzefqypxas.bid,False
bebufuspldzh.com,False
siwtuvvgraum.com,False
kjbqzbiteubt.com,True
baiaclwdpztd.com,False
giphylee.com,False
au-business-customer.com,True
getvideo.nu,False
nfwebminer.com,True
blog.piotrwyrzykowski.pl,False
simplychasinasis.com,False
uni.96.lt,True
simplellantivir.rr.nu,True
eeme7j.win,False
ns1.shoshololo.ru,True
rdqy.cn,False
drivers.epsoncorp.com,False
serverhelpdeskadmin.webs.com,True
indigocrickets.com,True
enjoyableoffers.club,False
neironhounder.com,True
alemoney.xyz,False
bqbagfhhbhyzq.bid,False
btt5sxcx90.com,True
now.sh,True
guppobod.net,True
vlad-poltava.1gb.ua,True
mysitezulu.com,False
auroramine.com,True
marketingmonster.ru,False
dbwohmscsgkhvz.bid,False
corporationregistry-online-form.com,False
sexwithanimalsvideos.com,True
ghostdeal.com,True
yyhlnavqvcjuiq.bid,False
itrcareer.com,True
cmqeojydveotb.bid,False
owaeapp.comuf.com,True
jointreport-switch.com,True
qrksjrjppkam.com,True
maravilhas.co.cc,True
supersimplesurvey.com,True
hashto.cash,True
fulminatoronline.com,True
malawipublichealth.org,True
